CategoryName,Model,MAPE,RMSE
CPU,Moving Average,4.446455187654204e+19,150.17022059187823
CPU,SARIMA,1.9524041124889846e+19,93.92229421793222
CPU,Prophet,5.2598862447590736e+19,185.42497389010146
Mother Board,Moving Average,66.66666666666666,127.43233498606232
Mother Board,SARIMA,2.6401223736309604e+19,136.3802734426534
Mother Board,Prophet,2.7450180093991797e+19,162.49000448993587
RAM,Moving Average,9.36962885438306e+18,34.86323171374655
RAM,SARIMA,4.093917254118293e+19,145.56174121605852
RAM,Prophet,3.5961273056750055e+19,95.67955009992193
Storage,Moving Average,2.7273959965564658e+19,97.77804144679651
Storage,SARIMA,1.2361928111422538e+20,534.6021277343377
Storage,Prophet,7.400167314149976e+19,266.8041406217835
Video Card,Moving Average,3.4877877114191507e+19,121.35012795142895
Video Card,SARIMA,3.588717215100887e+19,152.63267581716156
Video Card,Prophet,3.958653031432561e+19,137.58476488079734
