OrderDate,CategoryName,Quantity
2013-06-01,CPU,402.0
2013-07-01,CPU,402.0
2013-08-01,CPU,402.0
2013-09-01,CPU,402.0
2013-10-01,CPU,402.0
2013-11-01,CPU,402.0
2013-12-01,CPU,402.0
2014-01-01,CPU,402.0
2014-02-01,CPU,402.0
2014-03-01,CPU,402.0
2014-04-01,CPU,402.0
2014-05-01,CPU,402.0
2014-06-01,CPU,402.0
2014-07-01,CPU,402.0
2014-08-01,CPU,402.0
2014-09-01,CPU,402.0
2014-10-01,CPU,402.0
2014-11-01,CPU,402.0
2014-12-01,CPU,402.0
2015-01-01,CPU,402.0
2015-02-01,CPU,402.0
2015-03-01,CPU,402.0
2015-04-01,CPU,402.0
2015-05-01,CPU,300.0
2015-06-01,CPU,0.0
2015-07-01,CPU,0.0
2015-08-01,CPU,0.0
2015-09-01,CPU,0.0
2015-10-01,CPU,0.0
2015-11-01,CPU,0.0
2015-12-01,CPU,0.0
2016-01-01,CPU,0.0
2016-02-01,CPU,0.0
2016-03-01,CPU,0.0
2016-04-01,CPU,0.0
2016-05-01,CPU,70.0
2016-06-01,CPU,157.0
2016-07-01,CPU,0.0
2016-08-01,CPU,369.0
2016-09-01,CPU,453.0
2016-10-01,CPU,460.0
2016-11-01,CPU,206.0
2016-12-01,CPU,427.0
2017-01-01,CPU,107.0
2017-02-01,CPU,584.0
2017-03-01,CPU,238.0
2017-04-01,CPU,225.0
2017-05-01,CPU,155.0
2017-06-01,CPU,0.0
2017-07-01,CPU,0.0
2017-08-01,CPU,296.0
2017-09-01,CPU,257.0
2017-10-01,CPU,145.0
2017-11-01,CPU,145.0
2013-06-01,Mother Board,96.0
2013-07-01,Mother Board,96.0
2013-08-01,Mother Board,96.0
2013-09-01,Mother Board,96.0
2013-10-01,Mother Board,96.0
2013-11-01,Mother Board,96.0
2013-12-01,Mother Board,96.0
2014-01-01,Mother Board,96.0
2014-02-01,Mother Board,96.0
2014-03-01,Mother Board,96.0
2014-04-01,Mother Board,96.0
2014-05-01,Mother Board,96.0
2014-06-01,Mother Board,96.0
2014-07-01,Mother Board,96.0
2014-08-01,Mother Board,96.0
2014-09-01,Mother Board,96.0
2014-10-01,Mother Board,96.0
2014-11-01,Mother Board,96.0
2014-12-01,Mother Board,96.0
2015-01-01,Mother Board,96.0
2015-02-01,Mother Board,96.0
2015-03-01,Mother Board,96.0
2015-04-01,Mother Board,96.0
2015-05-01,Mother Board,96.0
2015-06-01,Mother Board,0.0
2015-07-01,Mother Board,0.0
2015-08-01,Mother Board,0.0
2015-09-01,Mother Board,0.0
2015-10-01,Mother Board,58.0
2015-11-01,Mother Board,0.0
2015-12-01,Mother Board,41.0
2016-01-01,Mother Board,0.0
2016-02-01,Mother Board,45.0
2016-03-01,Mother Board,0.0
2016-04-01,Mother Board,0.0
2016-05-01,Mother Board,233.0
2016-06-01,Mother Board,557.0
2016-07-01,Mother Board,60.0
2016-08-01,Mother Board,169.0
2016-09-01,Mother Board,140.0
2016-10-01,Mother Board,327.0
2016-11-01,Mother Board,146.0
2016-12-01,Mother Board,0.0
2017-01-01,Mother Board,61.0
2017-02-01,Mother Board,393.0
2017-03-01,Mother Board,0.0
2017-04-01,Mother Board,0.0
2017-05-01,Mother Board,0.0
2017-06-01,Mother Board,59.0
2017-07-01,Mother Board,0.0
2017-08-01,Mother Board,230.0
2017-09-01,Mother Board,187.0
2017-10-01,Mother Board,0.0
2017-11-01,Mother Board,78.0
2013-06-01,RAM,126.0
2013-07-01,RAM,126.0
2013-08-01,RAM,126.0
2013-09-01,RAM,126.0
2013-10-01,RAM,126.0
2013-11-01,RAM,126.0
2013-12-01,RAM,126.0
2014-01-01,RAM,126.0
2014-02-01,RAM,126.0
2014-03-01,RAM,126.0
2014-04-01,RAM,126.0
2014-05-01,RAM,126.0
2014-06-01,RAM,126.0
2014-07-01,RAM,126.0
2014-08-01,RAM,126.0
2014-09-01,RAM,126.0
2014-10-01,RAM,126.0
2014-11-01,RAM,126.0
2014-12-01,RAM,126.0
2015-01-01,RAM,126.0
2015-02-01,RAM,126.0
2015-03-01,RAM,126.0
2015-04-01,RAM,126.0
2015-05-01,RAM,126.0
2015-06-01,RAM,126.0
2015-07-01,RAM,0.0
2015-08-01,RAM,0.0
2015-09-01,RAM,0.0
2015-10-01,RAM,61.0
2015-11-01,RAM,0.0
2015-12-01,RAM,0.0
2016-01-01,RAM,0.0
2016-02-01,RAM,0.0
2016-03-01,RAM,0.0
2016-04-01,RAM,0.0
2016-05-01,RAM,0.0
2016-06-01,RAM,233.0
2016-07-01,RAM,0.0
2016-08-01,RAM,0.0
2016-09-01,RAM,0.0
2016-10-01,RAM,82.0
2016-11-01,RAM,0.0
2016-12-01,RAM,0.0
2017-01-01,RAM,143.0
2017-02-01,RAM,334.0
2017-03-01,RAM,130.0
2017-04-01,RAM,0.0
2017-05-01,RAM,0.0
2017-06-01,RAM,0.0
2017-07-01,RAM,0.0
2017-08-01,RAM,80.0
2017-09-01,RAM,80.0
2017-10-01,RAM,80.0
2017-11-01,RAM,80.0
2013-06-01,Storage,119.0
2013-07-01,Storage,0.0
2013-08-01,Storage,0.0
2013-09-01,Storage,0.0
2013-10-01,Storage,0.0
2013-11-01,Storage,0.0
2013-12-01,Storage,0.0
2014-01-01,Storage,0.0
2014-02-01,Storage,0.0
2014-03-01,Storage,0.0
2014-04-01,Storage,0.0
2014-05-01,Storage,0.0
2014-06-01,Storage,0.0
2014-07-01,Storage,0.0
2014-08-01,Storage,0.0
2014-09-01,Storage,0.0
2014-10-01,Storage,0.0
2014-11-01,Storage,0.0
2014-12-01,Storage,0.0
2015-01-01,Storage,0.0
2015-02-01,Storage,0.0
2015-03-01,Storage,0.0
2015-04-01,Storage,0.0
2015-05-01,Storage,138.0
2015-06-01,Storage,0.0
2015-07-01,Storage,0.0
2015-08-01,Storage,0.0
2015-09-01,Storage,0.0
2015-10-01,Storage,138.0
2015-11-01,Storage,0.0
2015-12-01,Storage,240.0
2016-01-01,Storage,0.0
2016-02-01,Storage,434.0
2016-03-01,Storage,0.0
2016-04-01,Storage,0.0
2016-05-01,Storage,148.0
2016-06-01,Storage,474.0
2016-07-01,Storage,83.0
2016-08-01,Storage,138.0
2016-09-01,Storage,282.0
2016-10-01,Storage,311.0
2016-11-01,Storage,449.0
2016-12-01,Storage,104.0
2017-01-01,Storage,205.0
2017-02-01,Storage,870.0
2017-03-01,Storage,69.0
2017-04-01,Storage,133.0
2017-05-01,Storage,135.0
2017-06-01,Storage,0.0
2017-07-01,Storage,0.0
2017-08-01,Storage,117.0
2017-09-01,Storage,236.0
2017-10-01,Storage,0.0
2017-11-01,Storage,120.0
2013-06-01,Video Card,138.0
2013-07-01,Video Card,138.0
2013-08-01,Video Card,138.0
2013-09-01,Video Card,138.0
2013-10-01,Video Card,138.0
2013-11-01,Video Card,138.0
2013-12-01,Video Card,138.0
2014-01-01,Video Card,138.0
2014-02-01,Video Card,138.0
2014-03-01,Video Card,138.0
2014-04-01,Video Card,138.0
2014-05-01,Video Card,138.0
2014-06-01,Video Card,138.0
2014-07-01,Video Card,138.0
2014-08-01,Video Card,138.0
2014-09-01,Video Card,138.0
2014-10-01,Video Card,138.0
2014-11-01,Video Card,138.0
2014-12-01,Video Card,138.0
2015-01-01,Video Card,138.0
2015-02-01,Video Card,138.0
2015-03-01,Video Card,138.0
2015-04-01,Video Card,138.0
2015-05-01,Video Card,138.0
2015-06-01,Video Card,49.0
2015-07-01,Video Card,0.0
2015-08-01,Video Card,0.0
2015-09-01,Video Card,0.0
2015-10-01,Video Card,247.0
2015-11-01,Video Card,0.0
2015-12-01,Video Card,204.0
2016-01-01,Video Card,0.0
2016-02-01,Video Card,217.0
2016-03-01,Video Card,0.0
2016-04-01,Video Card,0.0
2016-05-01,Video Card,0.0
2016-06-01,Video Card,281.0
2016-07-01,Video Card,65.0
2016-08-01,Video Card,0.0
2016-09-01,Video Card,92.0
2016-10-01,Video Card,0.0
2016-11-01,Video Card,173.0
2016-12-01,Video Card,207.0
2017-01-01,Video Card,233.0
2017-02-01,Video Card,351.0
2017-03-01,Video Card,0.0
2017-04-01,Video Card,123.0
2017-05-01,Video Card,246.0
2017-06-01,Video Card,0.0
2017-07-01,Video Card,0.0
2017-08-01,Video Card,0.0
2017-09-01,Video Card,146.0
2017-10-01,Video Card,46.0
2017-11-01,Video Card,146.0
