OrderDetailsID,ProductID,OrderItemQuantity,PerUnitPrice,OrderStatus,OrderID,OrderDate,CustomerID,ProductName,CategoryName,ProductDescription,ProductStandardCost,ProductListPrice,Profit,Revenue
1,P001,132,469.99,Shipped,7272,2016-11-17,2301,Intel Xeon E5-2699 V3 (OEM/Tray),CPU,"Speed:2.3GHz,Cores:18,TDP:145W",2867.51,3410.46,542.95,62038.68
2,P002,124,519.99,Shipped,7273,2017-02-20,2302,Intel Xeon E5-2697 V3,CPU,"Speed:2.6GHz,Cores:14",2326.27,2774.98,448.71,64478.76
3,P003,92,800.74,Canceled,7274,2017-01-03,2303,Intel Xeon E5-2698 V3 (OEM/Tray),CPU,Speed:2.3GHz,2035.18,2660.72,625.54,73668.08
4,P004,128,849.99,Pending,7275,2017-10-15,2304,Intel Xeon E5-2697 V4,CPU,"Cores:18,TDP:145W",2144.4,2554.99,410.59,108798.72
5,P005,106,109.99,Shipped,7276,2017-04-09,2305,Intel Xeon E5-2685 V3 (OEM/Tray),CPU,"Speed:2.6GHz,Cores:12",2012.11,2501.69,489.58,11658.939999999999
6,P006,148,549.59,Shipped,7277,2017-08-15,2306,Intel Xeon E5-2695 V3 (OEM/Tray),CPU,"Speed:2.3GHz,Cores:14",1925.13,2431.95,506.82,81339.32
7,P007,127,659.99,Canceled,7278,2016-12-01,2307,Intel Xeon E5-2697 V2,CPU,"Speed:2.7GHz,Cores:12,TDP:130W",2101.59,2377.09,275.5,83818.73
8,P008,138,54.99,Shipped,7279,2015-04-09,2308,Intel Xeon E5-2695 V4,CPU,"Speed:2.1GHz,Cores:18,TDP:120W",1780.35,2269.99,489.64,7588.62
9,P009,117,798.26,Canceled,7280,2017-05-11,2309,Intel Xeon E5-2695 V2,CPU,"Speed:2.4GHz,Cores:12,TDP:115W",1793.53,2259.99,466.46,93396.42
10,P010,34,279.99,Pending,7281,2016-12-03,2310,Intel Xeon E5-2643 V2 (OEM/Tray),CPU,"Speed:3.5GHz,Cores:6",1940.18,2200.0,259.82,9519.66
11,P011,58,549.59,Shipped,7282,2016-12-20,2311,Intel Xeon E5-2690 (OEM/Tray),CPU,"Speed:2.9GHz,Cores:8",1888.33,2116.72,228.39,31876.22
12,P012,49,2200.0,Pending,7283,2016-08-16,2312,Intel Xeon E5-2687W V3,CPU,"Speed:3.1GHz,Cores:10,TDP:160W",1781.47,2064.99,283.52,107800.0
13,P013,77,309.85,Shipped,7284,2015-05-02,2313,Intel Xeon E5-2687W V4,CPU,"Speed:3.0GHz,Cores:12,TDP:160W",1723.83,2042.69,318.86,23858.45
14,P014,141,721.99,Shipped,7285,2016-09-29,2314,Intel Xeon E5-2667 V3 (OEM/Tray),CPU,"Speed:3.2GHz,Cores:8,TDP:135W",1504.08,2009.46,505.38,101800.59
15,P015,33,824.98,Canceled,7286,2016-12-13,2315,Intel Xeon E5-2690 V4,CPU,"Speed:2.6GHz,Cores:14,TDP:135W",1499.26,1994.49,495.23,27224.34
16,P016,144,699.01,Shipped,7287,2016-12-02,2316,Intel Xeon E5-2690 V3,CPU,"Speed:2.6GHz,Cores:12,TDP:135W",1540.35,1908.73,368.38,100657.44
17,P017,149,339.99,Shipped,7288,2016-10-27,2317,Intel Xeon E5-2470V2,CPU,"Speed:2.4GHz,Cores:10,TDP:95W",1671.95,1904.7,232.75,50658.51
18,P018,145,1999.89,Shipped,7289,2017-10-27,2318,Intel Xeon E5-2683 V4,CPU,"Speed:2.1GHz,Cores:16,TDP:120W",1706.95,1899.99,193.04,289984.05
19,P019,79,899.99,Canceled,7290,2016-12-14,2319,Intel Xeon E5-2637 V2 (OEM/Tray),CPU,"Speed:3.5GHz,Cores:4,TDP:130W",1323.12,1850.0,526.88,71099.21
20,P020,75,620.95,Pending,7291,2016-12-13,2320,Intel Xeon E5-2683 V4 (OEM/Tray),CPU,"Speed:2.1GHz,Cores:16,TDP:120W",1369.83,1844.89,475.06,46571.25
21,P021,116,799.0,Shipped,7292,2015-04-26,2321,Intel Core i7-4960X Extreme Edition,CPU,"Speed:3.6GHz,Cores:6,TDP:130W",1496.43,1805.97,309.54,92684.0
22,P022,119,680.99,Shipped,7293,2017-04-26,2322,Intel Xeon E5-2699 V4 (OEM/Tray),CPU,"Speed:2.2GHz,Cores:22,TDP:145W",1535.62,1756.0,220.38,81037.81
23,P023,148,47.88,Shipped,7294,2015-04-09,2323,Intel Xeon E5-1680 V3 (OEM/Tray),CPU,"Speed:3.2GHz,Cores:8,TDP:140W",1519.85,1751.99,232.14,7086.240000000001
