OrderDate,CategoryName,Quantity
2013-06-01,CPU,402.0
2013-07-01,CPU,402.0
2013-08-01,CPU,402.0
2013-09-01,CPU,402.0
2013-10-01,CPU,402.0
2013-11-01,CPU,402.0
2013-12-01,CPU,402.0
2014-01-01,CPU,402.0
2014-02-01,CPU,402.0
2014-03-01,CPU,402.0
2014-04-01,CPU,402.0
2014-05-01,CPU,402.0
2014-06-01,CPU,402.0
2014-07-01,CPU,402.0
2014-08-01,CPU,402.0
2014-09-01,CPU,402.0
2014-10-01,CPU,402.0
2014-11-01,CPU,402.0
2014-12-01,CPU,402.0
2015-01-01,CPU,402.0
2015-02-01,CPU,402.0
2015-03-01,CPU,402.0
2015-04-01,CPU,402.0
2015-05-01,CPU,300.0
2015-06-01,CPU,0.0
2015-07-01,CPU,0.0
2015-08-01,CPU,0.0
2015-09-01,CPU,0.0
2015-10-01,CPU,0.0
2015-11-01,CPU,0.0
2015-12-01,CPU,0.0
2016-01-01,CPU,0.0
2016-02-01,CPU,0.0
2016-03-01,CPU,0.0
2016-04-01,CPU,0.0
2016-05-01,CPU,70.0
2016-06-01,CPU,157.0
2016-07-01,CPU,0.0
2016-08-01,CPU,369.0
2016-09-01,CPU,453.0
2016-10-01,CPU,460.0
2016-11-01,CPU,206.0
2016-12-01,CPU,427.0
