,CPU,Mother Board,RAM,Storage,Video Card
2013-06-01,,,,119.0,
2013-07-01,,,,0.0,
2013-08-01,,,,0.0,
2013-09-01,,,,0.0,
2013-10-01,,,,0.0,
2013-11-01,,,,0.0,
2013-12-01,,,,0.0,
2014-01-01,,,,0.0,
2014-02-01,,,,0.0,
2014-03-01,,,,0.0,
2014-04-01,,,,0.0,
2014-05-01,,,,0.0,
2014-06-01,,,,0.0,
2014-07-01,,,,0.0,
2014-08-01,,,,0.0,
2014-09-01,,,,0.0,
2014-10-01,,,,0.0,
2014-11-01,,,,0.0,
2014-12-01,,,,0.0,
2015-01-01,,,,0.0,
2015-02-01,,,,0.0,
2015-03-01,,,,0.0,
2015-04-01,402.0,,,0.0,
2015-05-01,300.0,96.0,,138.0,138.0
2015-06-01,0.0,0.0,126.0,0.0,49.0
2015-07-01,0.0,0.0,0.0,0.0,0.0
2015-08-01,0.0,0.0,0.0,0.0,0.0
2015-09-01,0.0,0.0,0.0,0.0,0.0
2015-10-01,0.0,58.0,61.0,138.0,247.0
2015-11-01,0.0,0.0,0.0,0.0,0.0
2015-12-01,0.0,41.0,0.0,240.0,204.0
2016-01-01,0.0,0.0,0.0,0.0,0.0
2016-02-01,0.0,45.0,0.0,434.0,217.0
2016-03-01,0.0,0.0,0.0,0.0,0.0
2016-04-01,0.0,0.0,0.0,0.0,0.0
2016-05-01,70.0,233.0,0.0,148.0,0.0
2016-06-01,157.0,557.0,233.0,474.0,281.0
2016-07-01,0.0,60.0,0.0,83.0,65.0
2016-08-01,369.0,169.0,0.0,138.0,0.0
2016-09-01,453.0,140.0,0.0,282.0,92.0
2016-10-01,460.0,327.0,82.0,311.0,0.0
2016-11-01,206.0,146.0,0.0,449.0,173.0
2016-12-01,427.0,0.0,0.0,104.0,207.0
2017-01-01,107.0,61.0,143.0,205.0,233.0
2017-02-01,584.0,393.0,334.0,870.0,351.0
2017-03-01,238.0,0.0,130.0,69.0,0.0
2017-04-01,225.0,0.0,0.0,133.0,123.0
2017-05-01,155.0,0.0,0.0,135.0,246.0
2017-06-01,0.0,59.0,0.0,0.0,0.0
2017-07-01,0.0,0.0,0.0,0.0,0.0
2017-08-01,296.0,230.0,80.0,117.0,0.0
2017-09-01,257.0,187.0,,236.0,146.0
2017-10-01,145.0,0.0,,0.0,46.0
2017-11-01,,78.0,,120.0,146.0
